"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Mytra","198000000","1.20E+08","17"
"Apptronik","762789424","3.31E+08","68"
"Figure","1854000000","1.00E+09","138"
"Freeform","117882689","5.89E+07","25"
"Kargo","91400000","4.20E+07","41"
"Neros Technologies","119500000","7.50E+07","83"
"Point One Navigation","45000000","3.50E+07","73"
"Agtonomy","73000000","1.80E+07","96"
"AIM","91069962","5.00E+07","236"
"Augury","369000000","7.50E+07","347"